,0
GP_12_NA,34.71846776433218
GP_WBATOTAL_20,218.02325568454043
GP_63_PR3,0.33759924957306614
GP_26N_NU2,1.1973150235044303
GP_16_NA1,54.60897597262374
GP_24_NU2,2.719296043429099
GP_61_PA2_D,3.6753174049431756
GP_61_NA3,0.7750280300580792
GP_62_NA1,276.8565900144117
GP_61_PA3_D,16.01417195100642
GP_26S_PU3,0.03242500729226485
GP_17S_PR,0.0
GP_26S_NU2,16.270517797371394
GP_08S_PA,86.9543650264388
GP_64_NA2,280.75839818024446
GP_60N_NA3,115.65821755619814
GP_WBATOTAL_25,205.19870035209075
GP_PCWA3,0.0
GP_73_NU,0.9991085928161499
GP_WBATOTAL_13,5.450186171901719
GP_21_NA,29.88487822050637
GP_17N_NA,39.30177088606735
